Frame,Time (Seconds),X,Y,Z
147,4.9,0.391942,-0.001367,0.14638
148,4.933333,0.391897,-0.001554,0.146917
149,4.966667,0.391833,-0.001555,0.147714
150,5,0.391804,-0.001615,0.148202
151,5.033333,0.391801,-0.001722,0.148496
152,5.066667,0.391753,-0.001717,0.14886
153,5.1,0.391765,-0.001886,0.149464
154,5.133333,0.391712,-0.00188,0.149909
155,5.166667,0.391705,-0.001868,0.150046
156,5.2,0.39172,-0.001863,0.149946
157,5.233333,0.391747,-0.001849,0.149896
158,5.266667,0.391732,-0.001854,0.14989
159,5.3,0.391699,-0.001842,0.149903
160,5.333333,0.39169,-0.001861,0.149954
161,5.366667,0.391705,-0.001838,0.149927
162,5.4,0.391686,-0.001856,0.149908
163,5.433333,0.391676,-0.001836,0.149939
164,5.466667,0.391681,-0.001863,0.149973
165,5.5,0.391687,-0.001835,0.149921
166,5.533333,0.391688,-0.001852,0.149912
167,5.566667,0.391701,-0.001836,0.149923
168,5.6,0.391693,-0.001863,0.149949
169,5.633333,0.391702,-0.001834,0.149892
170,5.666667,0.391701,-0.001839,0.14986
171,5.7,0.39169,-0.001843,0.14991
172,5.733333,0.391681,-0.001837,0.149896
173,5.766667,0.391673,-0.001843,0.149882
174,5.8,0.391684,-0.001831,0.149902
175,5.833333,0.391686,-0.001839,0.14991
176,5.866667,0.391691,-0.001839,0.149849
177,5.9,0.391706,-0.001831,0.149808
178,5.933333,0.391706,-0.001843,0.149851
179,5.966667,0.391701,-0.001826,0.149837
180,6,0.391702,-0.001844,0.149835
181,6.033333,0.391719,-0.001825,0.149831
182,6.066667,0.391705,-0.001844,0.149829
183,6.1,0.391692,-0.001827,0.149811
184,6.133333,0.391696,-0.001837,0.149837
185,6.166667,0.391702,-0.001828,0.149822
186,6.2,0.39165,-0.001838,0.14988
187,6.233333,0.391561,-0.001807,0.149881
188,6.266667,0.391479,-0.001726,0.149765
189,6.3,0.391464,-0.001738,0.149507
190,6.333333,0.391407,-0.00153,0.148934
191,6.366667,0.391246,-0.001543,0.148739
192,6.4,0.39118,-0.00144,0.148659
193,6.433333,0.391086,-0.001501,0.148731
194,6.466667,0.390938,-0.001418,0.148645
195,6.5,0.390667,-0.001267,0.148203
196,6.533333,0.390285,-0.001183,0.147189
197,6.566667,0.389817,-0.001058,0.145259
198,6.6,0.38925,-0.001154,0.142282
199,6.633333,0.388519,-0.001271,0.139534
200,6.666667,0.388342,-0.000685,0.138226
201,6.7,0.387899,-0.001094,0.138386
202,6.733333,0.387832,-0.00126,0.139317
