Frame,Time (Seconds),X,Y,Z,,,,,,,,,,,,,,,
0,0,0.491656,-0.004615,0.068392,,,,,,,,,,,,,,,
1,0.033333,0.491647,-0.004613,0.068402,,,,,,,,,,,,,,,
2,0.066667,0.491579,-0.004596,0.068618,,,,,,,,,,,,,,,
3,0.1,0.491431,-0.004576,0.069065,,,,,,,,,,,,,,,velocity - 0.3 mm/s
4,0.133333,0.491484,-0.004599,0.069286,,,,,,,,,,,,,,,
5,0.166667,0.491473,-0.004612,0.069319,,,,,,,,,,,,,,,
6,0.2,0.491478,-0.00462,0.0693,,,,,,,,,,,,,,,
7,0.233333,0.491515,-0.004617,0.069297,,,,,,,,,,,,,,,
8,0.266667,0.491548,-0.004623,0.069277,,,,,,,,,,,,,,,
9,0.3,0.491596,-0.004607,0.069251,,,,,,,,,,,,,,,
10,0.333333,0.491652,-0.004618,0.069241,,,,,,,,,,,,,,,
11,0.366667,0.491677,-0.004606,0.069246,,,,,,,,,,,,,,,
12,0.4,0.491692,-0.004603,0.06923,,,,,,,,,,,,,,,
13,0.433333,0.491709,-0.004596,0.069236,,,,,,,,,,,,,,,
14,0.466667,0.491714,-0.004596,0.069245,,,,,,,,,,,,,,,
15,0.5,0.491708,-0.004597,0.069239,,,,,,,,,,,,,,,
16,0.533333,0.491705,-0.004597,0.06924,,,,,,,,,,,,,,,
17,0.566667,0.49171,-0.004592,0.069251,,,,,,,,,,,,,,,
18,0.6,0.491707,-0.004596,0.06924,,,,,,,,,,,,,,,
19,0.633333,0.491709,-0.004597,0.069237,,,,,,,,,,,,,,,
20,0.666667,0.491707,-0.004592,0.069247,,,,,,,,,,,,,,,
21,0.7,0.491706,-0.004595,0.069242,,,,,,,,,,,,,,,
22,0.733333,0.491703,-0.004594,0.069241,,,,,,,,,,,,,,,
23,0.766667,0.491703,-0.004597,0.069249,,,,,,,,,,,,,,,
24,0.8,0.491707,-0.004592,0.069244,,,,,,,,,,,,,,,
