Frame,Time (Seconds),X,Y,Z
141,4.7,0.210333,-0.002081,0.301412
142,4.733333,0.210343,-0.002206,0.301472
143,4.766667,0.210209,-0.002252,0.301224
144,4.8,0.210087,-0.002364,0.301161
145,4.833333,0.20991,-0.002551,0.300896
146,4.866667,0.209689,-0.002728,0.299966
147,4.9,0.209415,-0.003039,0.298993
148,4.933333,0.209113,-0.003008,0.298487
149,4.966667,0.208629,-0.003051,0.298317
150,5,0.20832,-0.003102,0.297652
151,5.033333,0.208016,-0.003022,0.296941
152,5.066667,0.20762,-0.003006,0.296293
153,5.1,0.207465,-0.002968,0.295668
154,5.133333,0.207325,-0.0029,0.295232
155,5.166667,0.207256,-0.002901,0.294815
156,5.2,0.207225,-0.002882,0.294356
157,5.233333,0.207207,-0.002749,0.294094
158,5.266667,0.207207,-0.002753,0.294093
159,5.3,0.207197,-0.00274,0.294148
160,5.333333,0.207206,-0.002712,0.294062
161,5.366667,0.207225,-0.002705,0.294026
162,5.4,0.207228,-0.002682,0.294044
163,5.433333,0.207236,-0.002676,0.294045
164,5.466667,0.207245,-0.002665,0.29402
165,5.5,0.207251,-0.002666,0.294003
166,5.533333,0.207252,-0.002649,0.294021
167,5.566667,0.207259,-0.002648,0.29401
168,5.6,0.207266,-0.002641,0.293995
169,5.633333,0.207268,-0.002637,0.293995
170,5.666667,0.207271,-0.002626,0.294002
171,5.7,0.207275,-0.002628,0.293992
172,5.733333,0.207277,-0.002621,0.293984
173,5.766667,0.20728,-0.002615,0.29399
174,5.8,0.207284,-0.002621,0.293989
175,5.833333,0.207284,-0.002608,0.29398
176,5.866667,0.207288,-0.002614,0.293976
177,5.9,0.207288,-0.002609,0.293981
178,5.933333,0.207298,-0.002585,0.293983
179,5.966667,0.207294,-0.002602,0.29397
180,6,0.207296,-0.002602,0.293971
181,6.033333,0.207307,-0.002577,0.293978
182,6.066667,0.207307,-0.002574,0.293972
183,6.1,0.207302,-0.002595,0.293961
184,6.133333,0.20731,-0.002574,0.293973
185,6.166667,0.20731,-0.002573,0.293967
186,6.2,0.207314,-0.002573,0.29396
187,6.233333,0.20734,-0.00255,0.293952
188,6.266667,0.207398,-0.002487,0.293933
189,6.3,0.207634,-0.00214,0.293792
190,6.333333,0.207921,-0.001736,0.293481
191,6.366667,0.208181,-0.001653,0.293444
192,6.4,0.208361,-0.001628,0.293799
193,6.433333,0.20875,-0.001516,0.294083
194,6.466667,0.209038,-0.001401,0.294709
195,6.5,0.209051,-0.001592,0.29587
196,6.533333,0.209145,-0.001688,0.297779
197,6.566667,0.20966,-0.001642,0.299768
198,6.6,0.210023,-0.001783,0.301331
199,6.633333,0.210086,-0.00173,0.302947
200,6.666667,0.210215,-0.001658,0.303841
201,6.7,0.210417,-0.001804,0.30354
202,6.733333,0.210419,-0.001829,0.303261
203,6.766667,0.21053,-0.001902,0.30338
204,6.8,0.210657,-0.0021,0.303221
205,6.833333,0.210847,-0.002182,0.3024
206,6.866667,0.210971,-0.002274,0.300564
207,6.9,0.211024,-0.002309,0.298904
208,6.933333,0.211136,-0.00232,0.298516
209,6.966667,0.211214,-0.00258,0.298452
210,7,0.211268,-0.002559,0.297758
211,7.033333,0.211343,-0.002571,0.29667
212,7.066667,0.211373,-0.002727,0.296139
213,7.1,0.211407,-0.002729,0.296029
214,7.133333,0.211426,-0.002709,0.295573
215,7.166667,0.211403,-0.002663,0.295119
216,7.2,0.211387,-0.002577,0.295243
217,7.233333,0.211391,-0.002631,0.295501
218,7.266667,0.211392,-0.002591,0.295298
219,7.3,0.211386,-0.002604,0.295127
220,7.333333,0.211385,-0.002599,0.295304
221,7.366667,0.211379,-0.002561,0.295358
222,7.4,0.211371,-0.002581,0.295168
223,7.433333,0.211372,-0.002558,0.295211
224,7.466667,0.211366,-0.002563,0.295341
225,7.5,0.211367,-0.002553,0.295247
226,7.533333,0.211361,-0.002565,0.29517
227,7.566667,0.211363,-0.002535,0.295286
228,7.6,0.211361,-0.002533,0.295283
229,7.633333,0.211356,-0.002556,0.29518
230,7.666667,0.211356,-0.002541,0.295236
231,7.7,0.211355,-0.002537,0.295289
232,7.733333,0.211352,-0.002538,0.29521
233,7.766667,0.211349,-0.002539,0.295194
234,7.8,0.211351,-0.002523,0.295273
235,7.833333,0.21135,-0.002522,0.295246
236,7.866667,0.211345,-0.00254,0.295184
237,7.9,0.211345,-0.00253,0.295233
238,7.933333,0.211344,-0.002524,0.295255
239,7.966667,0.211344,-0.00253,0.295203
240,8,0.211342,-0.002532,0.295213
241,8.033333,0.211346,-0.002519,0.295257
242,8.066667,0.211341,-0.002527,0.295216
243,8.1,0.211338,-0.00253,0.295198
244,8.133333,0.211337,-0.002514,0.295241
245,8.166667,0.211313,-0.002489,0.295184
246,8.2,0.211149,-0.002312,0.295057
247,8.233333,0.210867,-0.00175,0.295084
248,8.266667,0.210628,-0.001419,0.29481
249,8.3,0.210584,-0.001519,0.294601
250,8.333333,0.210524,-0.001637,0.295144
251,8.366667,0.210451,-0.00149,0.296538
252,8.4,0.21028,-0.001303,0.298874
253,8.433333,0.209934,-0.001413,0.302364
254,8.466667,0.209675,-0.001582,0.306198
255,8.5,0.209651,-0.001798,0.308507
256,8.533333,0.209624,-0.002061,0.309286
257,8.566667,0.209551,-0.002146,0.309819
258,8.6,0.209562,-0.002169,0.309251
259,8.633333,0.209473,-0.002302,0.308795
260,8.666667,0.209315,-0.002423,0.309132
261,8.7,0.209074,-0.002486,0.308921
262,8.733333,0.208826,-0.002771,0.30788
263,8.766667,0.208653,-0.003119,0.306587
264,8.8,0.208294,-0.002928,0.30613
265,8.833333,0.20771,-0.003049,0.305958
266,8.866667,0.20754,-0.003089,0.305245
267,8.9,0.207142,-0.003079,0.304682
268,8.933333,0.206909,-0.003011,0.304057
269,8.966667,0.206821,-0.002934,0.303571
270,9,0.206729,-0.002998,0.303095
271,9.033333,0.206673,-0.002943,0.302843
272,9.066667,0.206606,-0.002856,0.302476
273,9.1,0.2066,-0.002753,0.302123
274,9.133333,0.206605,-0.002756,0.302095
275,9.166667,0.206592,-0.002718,0.302267
276,9.2,0.206608,-0.002726,0.302185
277,9.233333,0.206627,-0.002699,0.302065
278,9.266667,0.20663,-0.002697,0.302117
279,9.3,0.206637,-0.002671,0.302191
280,9.333333,0.206648,-0.00267,0.302093
281,9.366667,0.206656,-0.002676,0.302048
282,9.4,0.206659,-0.002639,0.302133
283,9.433333,0.206665,-0.002644,0.302126
284,9.466667,0.206668,-0.002645,0.302047
285,9.5,0.206678,-0.002632,0.302067
286,9.533333,0.206669,-0.002626,0.302132
287,9.566667,0.206681,-0.002621,0.302081
288,9.6,0.206689,-0.002615,0.30204
289,9.633333,0.206685,-0.002612,0.302083
290,9.666667,0.206686,-0.002604,0.302106
291,9.7,0.206693,-0.002612,0.302051
292,9.733333,0.206695,-0.002604,0.302046
293,9.766667,0.206693,-0.002596,0.30209
294,9.8,0.206695,-0.002596,0.302072
295,9.833333,0.2067,-0.002591,0.302044
296,9.866667,0.206701,-0.002594,0.302058
297,9.9,0.2067,-0.002584,0.302081
298,9.933333,0.206704,-0.002589,0.302052
299,9.966667,0.206706,-0.002588,0.302041
300,10,0.206707,-0.002589,0.302062
301,10.033333,0.206705,-0.00258,0.302066
302,10.066667,0.206711,-0.002585,0.30204
303,10.1,0.206739,-0.002579,0.302012
