Frame,Time (Seconds),X,Y,Z
384,12.8,0.20649,-0.003054,0.311817
385,12.833333,0.206438,-0.003023,0.311418
386,12.866667,0.206352,-0.003017,0.311137
387,12.9,0.206288,-0.002945,0.31078
388,12.933333,0.206288,-0.002876,0.31033
389,12.966667,0.206295,-0.002785,0.310184
390,13,0.206287,-0.002816,0.31027
391,13.033333,0.206275,-0.002772,0.310334
392,13.066667,0.2063,-0.002766,0.310241
393,13.1,0.206315,-0.002749,0.310174
394,13.133333,0.20631,-0.002741,0.310246
395,13.166667,0.206311,-0.002724,0.310271
396,13.2,0.206333,-0.002732,0.310174
397,13.233333,0.206333,-0.00271,0.31018
398,13.266667,0.206329,-0.002708,0.31023
399,13.3,0.206339,-0.00271,0.310207
400,13.333333,0.20635,-0.002692,0.31016
401,13.366667,0.206346,-0.002694,0.310186
402,13.4,0.206351,-0.002685,0.310217
403,13.433333,0.206361,-0.002683,0.310174
404,13.466667,0.206359,-0.002673,0.310163
405,13.5,0.20636,-0.002678,0.310194
406,13.533333,0.206364,-0.00267,0.310191
407,13.566667,0.20637,-0.002669,0.310158
408,13.6,0.206368,-0.002665,0.310171
409,13.633333,0.20637,-0.002661,0.310189
410,13.666667,0.206372,-0.002659,0.310173
411,13.7,0.206378,-0.002659,0.310156
412,13.733333,0.206375,-0.002661,0.310172
413,13.766667,0.206376,-0.002653,0.310179
414,13.8,0.206381,-0.002658,0.310158
415,13.833333,0.206381,-0.002657,0.310156
416,13.866667,0.206375,-0.002656,0.310169
417,13.9,0.206383,-0.00265,0.310167
418,13.933333,0.20639,-0.00265,0.310143
419,13.966667,0.206443,-0.002593,0.310131
420,14,0.206624,-0.002343,0.310089
421,14.033333,0.206942,-0.001921,0.309828
422,14.066667,0.207241,-0.001729,0.309566
423,14.1,0.207413,-0.00169,0.309825
424,14.133333,0.207867,-0.001669,0.310135
425,14.166667,0.208161,-0.001436,0.310731
426,14.2,0.20827,-0.00153,0.311627
427,14.233333,0.208255,-0.001751,0.312997
428,14.266667,0.208522,-0.001725,0.314786
429,14.3,0.209069,-0.001761,0.316164
430,14.333333,0.209151,-0.00179,0.3177
431,14.366667,0.209289,-0.00176,0.319229
432,14.4,0.209499,-0.001909,0.319731
433,14.433333,0.209535,-0.001908,0.319296
434,14.466667,0.209658,-0.001875,0.31887
435,14.5,0.209774,-0.002108,0.318504
436,14.533333,0.209948,-0.002179,0.318085
437,14.566667,0.210089,-0.002269,0.316705
438,14.6,0.210232,-0.002322,0.314868
439,14.633333,0.210391,-0.002358,0.313983
440,14.666667,0.21043,-0.002554,0.313993
441,14.7,0.210517,-0.00259,0.313699
442,14.733333,0.210624,-0.002652,0.312646
443,14.766667,0.210651,-0.002729,0.311787
444,14.8,0.210738,-0.002764,0.311562
445,14.833333,0.210773,-0.002744,0.311433
446,14.866667,0.210765,-0.002764,0.310935
447,14.9,0.210763,-0.002632,0.310637
448,14.933333,0.210742,-0.002663,0.310911
449,14.966667,0.210735,-0.002674,0.311075
450,15,0.210753,-0.002628,0.310791
451,15.033333,0.210738,-0.002639,0.310716
452,15.066667,0.210733,-0.002602,0.310953
453,15.1,0.210724,-0.002626,0.310878
454,15.133333,0.210733,-0.002585,0.310713
455,15.166667,0.210719,-0.002596,0.310833
456,15.2,0.210715,-0.002601,0.310913
457,15.233333,0.210725,-0.002577,0.310772
458,15.266667,0.21072,-0.002587,0.310762
459,15.3,0.210713,-0.002581,0.310893
460,15.333333,0.210716,-0.002574,0.310813
461,15.366667,0.210721,-0.002573,0.310746
462,15.4,0.210715,-0.002573,0.310847
463,15.433333,0.210707,-0.002582,0.310863
464,15.466667,0.210716,-0.002564,0.310757
465,15.5,0.210713,-0.002571,0.310786
466,15.533333,0.210706,-0.002566,0.310859
467,15.566667,0.210712,-0.002572,0.310796
468,15.6,0.210707,-0.002562,0.310745
469,15.633333,0.210705,-0.002562,0.310819
470,15.666667,0.210705,-0.002569,0.310826
471,15.7,0.210709,-0.00256,0.310771
472,15.733333,0.210707,-0.002563,0.310796
473,15.766667,0.210703,-0.002558,0.310828
474,15.8,0.210706,-0.002561,0.310783
475,15.833333,0.210707,-0.002561,0.310776
476,15.866667,0.210685,-0.00256,0.310784
477,15.9,0.210539,-0.002426,0.310697
478,15.933333,0.210387,-0.001956,0.310647
479,15.966667,0.210103,-0.001608,0.310513
480,16,0.210053,-0.00163,0.310135
481,16.033333,0.209979,-0.001663,0.310426
482,16.066667,0.209866,-0.001598,0.311485
483,16.1,0.209677,-0.001422,0.313725
484,16.133333,0.209391,-0.001479,0.317094
485,16.166667,0.20892,-0.001738,0.320987
486,16.2,0.208777,-0.001796,0.323647
487,16.233333,0.208729,-0.001776,0.324525
488,16.266667,0.208704,-0.002078,0.324775
489,16.3,0.208645,-0.002284,0.325321
490,16.333333,0.20854,-0.002223,0.325293
491,16.366667,0.208482,-0.002313,0.325032
492,16.4,0.208255,-0.00262,0.324721
493,16.433333,0.208157,-0.002793,0.323994
494,16.466667,0.207807,-0.003013,0.323164
495,16.5,0.207613,-0.003142,0.322376
496,16.533333,0.207283,-0.003144,0.321943
497,16.566667,0.206867,-0.003147,0.32156
498,16.6,0.206562,-0.003124,0.320936
499,16.633333,0.206422,-0.003162,0.320277
500,16.666667,0.206343,-0.003135,0.31982
501,16.7,0.206186,-0.003042,0.31949
502,16.733333,0.206169,-0.003035,0.318956
503,16.766667,0.206157,-0.002987,0.318508
504,16.8,0.206138,-0.002892,0.318257
505,16.833333,0.206126,-0.002836,0.31823
506,16.866667,0.206111,-0.00285,0.318247
507,16.9,0.206131,-0.0028,0.318207
508,16.933333,0.20614,-0.002834,0.318166
509,16.966667,0.206144,-0.002764,0.318187
510,17,0.20616,-0.002785,0.318168
511,17.033333,0.206157,-0.002761,0.31817
512,17.066667,0.206167,-0.002757,0.318152
513,17.1,0.206169,-0.002738,0.318154
514,17.133333,0.206177,-0.002739,0.318148
515,17.166667,0.206177,-0.002724,0.318141
516,17.2,0.206184,-0.002721,0.318137
517,17.233333,0.206187,-0.002722,0.318127
518,17.266667,0.206185,-0.002707,0.318133
519,17.3,0.206192,-0.002719,0.318116
520,17.333333,0.206192,-0.002696,0.318125
521,17.366667,0.206196,-0.002709,0.318115
522,17.4,0.206197,-0.002699,0.318114
523,17.433333,0.2062,-0.002704,0.318112
524,17.466667,0.206202,-0.002693,0.318111
525,17.5,0.206203,-0.002696,0.318105
526,17.533333,0.206205,-0.002689,0.318105
527,17.566667,0.206208,-0.002688,0.318104
528,17.6,0.206208,-0.002683,0.318101
529,17.633333,0.20621,-0.00268,0.3181
530,17.666667,0.206209,-0.00268,0.318094
531,17.7,0.206211,-0.002679,0.318095
532,17.733333,0.206212,-0.002677,0.318091
533,17.766667,0.206216,-0.00268,0.318092
534,17.8,0.206234,-0.00266,0.318067
535,17.833333,0.206332,-0.002534,0.318047
536,17.866667,0.206516,-0.002285,0.317881
537,17.9,0.206895,-0.00198,0.317577
538,17.933333,0.207102,-0.001777,0.317538
539,17.966667,0.207379,-0.001832,0.317788
540,18,0.207743,-0.001674,0.318287
541,18.033333,0.208016,-0.001509,0.318911
542,18.066667,0.207982,-0.001693,0.319837
543,18.1,0.208004,-0.001718,0.321699
544,18.133333,0.208466,-0.001789,0.323596
545,18.166667,0.208825,-0.002005,0.325194
546,18.2,0.2088,-0.001982,0.326999
547,18.233333,0.208886,-0.00197,0.328253
548,18.266667,0.209055,-0.002028,0.328065
549,18.3,0.209057,-0.001932,0.327993
550,18.333333,0.209223,-0.002131,0.327773
551,18.366667,0.20936,-0.002367,0.327311
552,18.4,0.20955,-0.002249,0.326443
553,18.433333,0.209714,-0.002457,0.324542
554,18.466667,0.209866,-0.002384,0.32298
555,18.5,0.209955,-0.002533,0.322478
556,18.533333,0.210032,-0.002684,0.322402
557,18.566667,0.210152,-0.002688,0.321722
558,18.6,0.210213,-0.002712,0.320684
559,18.633333,0.210291,-0.002814,0.320117
560,18.666667,0.21035,-0.002814,0.320013
561,18.7,0.210379,-0.00282,0.31958
562,18.733333,0.210354,-0.002837,0.319121
563,18.766667,0.21036,-0.002747,0.319223
564,18.8,0.210341,-0.002734,0.319502
565,18.833333,0.210363,-0.002723,0.319354
566,18.866667,0.210339,-0.002772,0.319118
567,18.9,0.210347,-0.002711,0.319304
568,18.933333,0.21034,-0.00271,0.319399
569,18.966667,0.210334,-0.002727,0.319205
570,19,0.210334,-0.002701,0.319191
571,19.033333,0.210318,-0.002686,0.319341
572,19.066667,0.210322,-0.002676,0.319274
573,19.1,0.210317,-0.002719,0.319163
574,19.133333,0.210317,-0.002667,0.319283
575,19.166667,0.210312,-0.002673,0.319302
576,19.2,0.210313,-0.002668,0.319189
577,19.233333,0.210312,-0.002652,0.319224
578,19.266667,0.21031,-0.002662,0.319309
579,19.3,0.210309,-0.002653,0.319236
580,19.333333,0.210309,-0.002661,0.319192
581,19.366667,0.210307,-0.00266,0.319275
582,19.4,0.210304,-0.002659,0.319278
583,19.433333,0.210304,-0.002658,0.319202
584,19.466667,0.210305,-0.00265,0.319228
585,19.5,0.210303,-0.002644,0.319268
586,19.533333,0.210303,-0.002648,0.319224
587,19.566667,0.210303,-0.002653,0.319207
588,19.6,0.2103,-0.00264,0.319254
589,19.633333,0.210299,-0.002653,0.319238
590,19.666667,0.210299,-0.00265,0.319199
591,19.7,0.210292,-0.002667,0.319229
592,19.733333,0.210267,-0.002634,0.319217
593,19.766667,0.210112,-0.002409,0.319082
594,19.8,0.209847,-0.001849,0.319023
595,19.833333,0.209597,-0.00151,0.318696
596,19.866667,0.209585,-0.001598,0.318561
597,19.9,0.209467,-0.001795,0.319232
598,19.933333,0.209346,-0.001604,0.320781
599,19.966667,0.209037,-0.001418,0.32338
600,20,0.208506,-0.001624,0.326904
601,20.033333,0.208167,-0.001712,0.330476
602,20.066667,0.208064,-0.00171,0.332358
603,20.1,0.208086,-0.002151,0.332597
604,20.133333,0.208038,-0.002233,0.333198
605,20.166667,0.207995,-0.002241,0.333475
606,20.2,0.207928,-0.002363,0.333197
607,20.233333,0.20779,-0.002506,0.333138
608,20.266667,0.207555,-0.002675,0.332806
609,20.3,0.207427,-0.002905,0.331886
610,20.333333,0.207172,-0.00319,0.330903
611,20.366667,0.206921,-0.00312,0.33031
612,20.4,0.206335,-0.003116,0.330135
613,20.433333,0.206127,-0.00324,0.329297
614,20.466667,0.205841,-0.003144,0.328581
615,20.5,0.205537,-0.003124,0.327913
