,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,"d30_30tall_15canal:Marker1","d30_30tall_15canal:Marker1","d30_30tall_15canal:Marker1","d30_30tall_15canal:Marker1","d30_30tall_15canal:Marker2","d30_30tall_15canal:Marker2","d30_30tall_15canal:Marker2","d30_30tall_15canal:Marker2","d30_30tall_15canal:Marker3","d30_30tall_15canal:Marker3","d30_30tall_15canal:Marker3","d30_30tall_15canal:Marker3",d30_30tall_15canal:Marker1,d30_30tall_15canal:Marker1,d30_30tall_15canal:Marker1,d30_30tall_15canal:Marker2,d30_30tall_15canal:Marker2,d30_30tall_15canal:Marker2,d30_30tall_15canal:Marker3,d30_30tall_15canal:Marker3,d30_30tall_15canal:Marker3
,ID,"BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","C36B0","C36B0","C36B0","C36A0","C36A0","C36A0","C3700","C3700","C3700"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z
10,0.333333,0.027034,-0.052268,-0.008604,-0.998230,0.212419,-0.002514,0.280217,0.000654,0.257473,0.003122,0.281081,0.840525,0.221115,-0.005447,0.266365,0.892100,0.158668,-0.005218,0.293204,0.944111,0.258061,0.003340,0.281196,0.220739,-0.005638,0.266275,0.158472,-0.005323,0.293184
11,0.366667,0.027586,-0.052279,-0.008653,-0.998214,0.212417,-0.002515,0.280256,0.000654,0.257471,0.003128,0.281114,0.840266,0.221114,-0.005462,0.266408,0.891884,0.158668,-0.005213,0.293247,0.943826,0.258059,0.003348,0.281229,0.220738,-0.005655,0.266316,0.158470,-0.005318,0.293229
12,0.400000,0.028781,-0.052312,-0.008732,-0.998178,0.212407,-0.002492,0.280115,0.000642,0.257459,0.003167,0.280957,0.843524,0.221103,-0.005468,0.266274,0.895692,0.158659,-0.005173,0.293116,0.943227,0.258038,0.003380,0.281061,0.220734,-0.005647,0.266197,0.158462,-0.005284,0.293092
13,0.433333,0.027839,-0.052332,-0.008808,-0.998203,0.212412,-0.002505,0.280165,0.000651,0.257464,0.003154,0.281015,0.840748,0.221108,-0.005455,0.266318,0.893466,0.158665,-0.005214,0.293164,0.943096,0.258052,0.003372,0.281126,0.220735,-0.005643,0.266231,0.158466,-0.005322,0.293143
14,0.466667,0.028588,-0.051511,-0.008658,-0.998226,0.212360,-0.002437,0.280212,0.000657,0.257411,0.003215,0.281128,0.839719,0.221078,-0.005409,0.266383,0.892013,0.158591,-0.005117,0.293125,0.942582,0.258002,0.003437,0.281241,0.220701,-0.005599,0.266294,0.158390,-0.005226,0.293104
15,0.500000,0.039410,-0.044984,-0.008882,-0.998171,0.212099,-0.002130,0.280072,0.000662,0.257124,0.003635,0.281460,0.835299,0.221005,-0.005380,0.266426,0.894553,0.158169,-0.004644,0.292330,0.933622,0.257730,0.003868,0.281571,0.220641,-0.005572,0.266335,0.157933,-0.004764,0.292311
16,0.533333,0.049421,-0.038221,-0.008559,-0.998010,0.211872,-0.001465,0.279850,0.000648,0.256869,0.004367,0.281739,0.835299,0.220966,-0.004978,0.266395,0.894553,0.157780,-0.003785,0.291416,0.933622,0.257456,0.004601,0.281859,0.220607,-0.005175,0.266300,0.157564,-0.003900,0.291394
17,0.566667,0.064393,-0.030899,-0.007500,-0.997418,0.211709,-0.001365,0.279425,0.000665,0.256676,0.004521,0.281810,0.839253,0.221001,-0.005279,0.266218,0.895040,0.157449,-0.003337,0.290246,0.938514,0.257281,0.004744,0.281921,0.220632,-0.005448,0.266149,0.157226,-0.003471,0.290208
18,0.600000,0.066613,-0.027849,-0.008287,-0.997356,0.211677,-0.001469,0.279569,0.000637,0.256617,0.004522,0.282199,0.836370,0.221057,-0.005420,0.266435,0.897026,0.157358,-0.003509,0.290073,0.934296,0.257187,0.004742,0.282317,0.220699,-0.005596,0.266360,0.157158,-0.003633,0.290036
19,0.633333,0.068825,-0.020773,-0.008095,-0.997380,0.211591,-0.001578,0.280394,0.000675,0.256485,0.004456,0.283635,0.844443,0.221158,-0.005579,0.267412,0.898713,0.157130,-0.003612,0.290135,0.940312,0.257094,0.004693,0.283764,0.220788,-0.005763,0.267328,0.156902,-0.003747,0.290095
