,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,turtlebot,turtlebot,turtlebot,turtlebot,turtlebot,turtlebot,turtlebot,turtlebot,"turtlebot:Marker1","turtlebot:Marker1","turtlebot:Marker1","turtlebot:Marker1","turtlebot:Marker2","turtlebot:Marker2","turtlebot:Marker2","turtlebot:Marker2","turtlebot:Marker3","turtlebot:Marker3","turtlebot:Marker3","turtlebot:Marker3",Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,turtlebot:Marker1,turtlebot:Marker1,turtlebot:Marker1,turtlebot:Marker2,turtlebot:Marker2,turtlebot:Marker2,turtlebot:Marker3,turtlebot:Marker3,turtlebot:Marker3
,ID,"36DA4776A32F11ED3650DF211B0069A6","36DA4776A32F11ED3650DF211B0069A6","36DA4776A32F11ED3650DF211B0069A6","36DA4776A32F11ED3650DF211B0069A6","36DA4776A32F11ED3650DF211B0069A6","36DA4776A32F11ED3650DF211B0069A6","36DA4776A32F11ED3650DF211B0069A6","36DA4776A32F11ED3650DF211B0069A6","36DA4776A32F11ED3650DF211B0069A6","36DA4776A32F11ED3650DF211B0069A6","36DA4776A32F11ED3650DF211B0069A6","36DA4776A32F11ED3650DF211B0069A6","36DA4776A32F11ED3650DF211B0069A6","36DA4776A32F11ED3650DF211B0069A6","36DA4776A32F11ED3650DF211B0069A6","36DA4776A32F11ED3650DF211B0069A6","36DA4776A32F11ED3650DF211B0069A6","36DA4776A32F11ED3650DF211B0069A6","36DA4776A32F11ED3650DF211B0069A6","36DA4776A32F11ED3650DF211B0069A6","C3B90","C3B90","C3B90","C3950","C3950","C3950","C38F0","C38F0","C38F0","C3790","C3790","C3790"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,0.366667,-0.019497,-0.040167,0.004079,-0.998994,0.460576,-0.001827,0.212809,0.001548,0.451805,-0.004268,0.222210,0.871156,0.416157,0.003061,0.216756,0.671978,0.513766,-0.004274,0.199460,0.759108,,,,0.452138,-0.004614,0.222397,0.414874,0.003333,0.216781,0.514702,-0.004435,0.199301
12,0.400000,-0.022159,-0.040288,0.004321,-0.998933,0.460576,-0.001874,0.212943,0.001556,0.451806,-0.004359,0.222334,0.871156,0.416162,0.003024,0.216927,0.671978,0.513761,-0.004286,0.199569,0.759108,,,,0.452136,-0.004702,0.222518,0.414869,0.003296,0.216956,0.514702,-0.004449,0.199410
13,0.433333,-0.021899,-0.040370,0.004361,-0.998935,0.460561,-0.001843,0.212915,0.001554,0.451792,-0.004322,0.222309,0.872315,0.416148,0.003060,0.216904,0.669734,0.513744,-0.004265,0.199534,0.758101,,,,0.452101,-0.004667,0.222492,0.414840,0.003327,0.216929,0.514667,-0.004427,0.199378
14,0.466667,-0.019452,-0.040443,0.004016,-0.998984,0.460554,-0.001824,0.212791,0.001556,0.451789,-0.004266,0.222198,0.870243,0.416137,0.003058,0.216763,0.672644,0.513737,-0.004264,0.199413,0.756474,,,,0.452113,-0.004620,0.222394,0.414856,0.003332,0.216786,0.514683,-0.004425,0.199248
15,0.500000,-0.020924,-0.040295,0.004243,-0.998960,0.460535,-0.001863,0.212890,0.001556,0.451765,-0.004327,0.222287,0.873034,0.416119,0.003033,0.216863,0.670116,0.513720,-0.004295,0.199521,0.757695,,,,0.452093,-0.004669,0.222471,0.414828,0.003303,0.216890,0.514663,-0.004457,0.199363
16,0.533333,-0.022831,-0.040381,0.004345,-0.998914,0.460523,-0.001837,0.212981,0.001555,0.451754,-0.004333,0.222370,0.873034,0.416109,0.003060,0.216980,0.670116,0.513705,-0.004237,0.199594,0.757695,,,,0.452076,-0.004671,0.222549,0.414813,0.003326,0.217010,0.514643,-0.004400,0.199437
17,0.566667,-0.021649,-0.040242,0.004286,-0.998946,0.460550,-0.001850,0.212907,0.001554,0.451779,-0.004327,0.222299,0.872343,0.416134,0.003047,0.216882,0.670384,0.513736,-0.004271,0.199540,0.758323,,,,0.452109,-0.004670,0.222483,0.414844,0.003318,0.216910,0.514676,-0.004434,0.199381
18,0.600000,-0.019332,-0.040176,0.004158,-0.998997,0.460538,-0.001825,0.212829,0.001549,0.451767,-0.004262,0.222231,0.871924,0.416120,0.003071,0.216776,0.672374,0.513727,-0.004284,0.199479,0.758398,,,,0.452094,-0.004608,0.222420,0.414838,0.003342,0.216801,0.514666,-0.004445,0.199319
19,0.633333,-0.022195,-0.040319,0.004311,-0.998931,0.460499,-0.001833,0.212964,0.001559,0.451729,-0.004319,0.222355,0.871924,0.416084,0.003064,0.216951,0.672374,0.513683,-0.004244,0.199587,0.758398,,,,0.452056,-0.004657,0.222536,0.414790,0.003331,0.216984,0.514628,-0.004408,0.199427
20,0.666667,-0.023179,-0.040334,0.004280,-0.998908,0.460521,-0.001882,0.213009,0.001563,0.451751,-0.004386,0.222395,0.874056,0.416106,0.003007,0.217007,0.669493,0.513704,-0.004268,0.199626,0.756928,,,,0.452075,-0.004738,0.222587,0.414813,0.003282,0.217032,0.514650,-0.004425,0.199462
