Frame,Time (Seconds),X,Y,Z
141,4.7,0.412656,-0.001526,0.282392
142,4.733333,0.412704,-0.001334,0.282374
143,4.766667,0.412816,-0.001303,0.282001
144,4.8,0.412855,-0.001299,0.28063
145,4.833333,0.412719,-0.001363,0.278298
146,4.866667,0.412381,-0.001498,0.274779
147,4.9,0.412312,-0.001648,0.271239
148,4.933333,0.41226,-0.001495,0.269281
149,4.966667,0.412358,-0.001478,0.269093
150,5,0.412413,-0.001761,0.269971
151,5.033333,0.412395,-0.001676,0.270858
152,5.066667,0.412475,-0.001821,0.271306
153,5.1,0.412461,-0.001792,0.271828
154,5.133333,0.412533,-0.001985,0.272671
155,5.166667,0.412542,-0.002081,0.273171
156,5.2,0.41256,-0.00202,0.273307
157,5.233333,0.412549,-0.002121,0.274008
158,5.266667,0.412522,-0.002117,0.27471
159,5.3,0.412516,-0.002035,0.275215
160,5.333333,0.412468,-0.002044,0.275814
161,5.366667,0.412436,-0.001981,0.276338
162,5.4,0.412393,-0.00198,0.276915
163,5.433333,0.41241,-0.001907,0.277375
164,5.466667,0.4124,-0.001908,0.277569
165,5.5,0.412398,-0.001876,0.277532
166,5.533333,0.412392,-0.001865,0.277564
167,5.566667,0.412387,-0.001868,0.277548
168,5.6,0.412388,-0.001868,0.277564
169,5.633333,0.412385,-0.001877,0.277576
170,5.666667,0.412385,-0.001864,0.277573
171,5.7,0.412381,-0.001873,0.27759
172,5.733333,0.41238,-0.001862,0.277595
173,5.766667,0.412375,-0.001866,0.2776
174,5.8,0.412377,-0.001863,0.27761
175,5.833333,0.412379,-0.001847,0.277616
176,5.866667,0.412371,-0.001864,0.277614
177,5.9,0.412374,-0.001858,0.277616
178,5.933333,0.412377,-0.001849,0.277625
179,5.966667,0.412369,-0.00186,0.27762
180,6,0.412373,-0.001847,0.277628
181,6.033333,0.412373,-0.001853,0.277626
182,6.066667,0.412374,-0.001844,0.277632
183,6.1,0.412369,-0.00186,0.277626
184,6.133333,0.412372,-0.001857,0.277625
185,6.166667,0.412373,-0.001845,0.277636
186,6.2,0.412371,-0.001842,0.277637
187,6.233333,0.412374,-0.001848,0.277637
188,6.266667,0.412373,-0.001845,0.277641
189,6.3,0.412367,-0.001861,0.277639
190,6.333333,0.412365,-0.001857,0.27764
191,6.366667,0.412373,-0.001843,0.277643
192,6.4,0.412365,-0.00186,0.277645
193,6.433333,0.412362,-0.001837,0.277662
194,6.466667,0.41234,-0.001799,0.277735
195,6.5,0.412274,-0.001705,0.27786
196,6.533333,0.412126,-0.001621,0.27799
197,6.566667,0.411973,-0.00142,0.278305
198,6.6,0.41187,-0.001303,0.278728
199,6.633333,0.41159,-0.001264,0.27883
200,6.666667,0.411389,-0.001287,0.278313
201,6.7,0.41109,-0.00135,0.277613
202,6.733333,0.410522,-0.001304,0.277003
203,6.766667,0.409894,-0.001217,0.275917
204,6.8,0.409211,-0.001214,0.274221
205,6.833333,0.4084,-0.001272,0.271632
206,6.866667,0.407658,-0.001564,0.268099
207,6.9,0.407138,-0.001602,0.265878
208,6.933333,0.406714,-0.001173,0.264999
209,6.966667,0.406634,-0.001627,0.265724
210,7,0.406653,-0.001593,0.266939
211,7.033333,0.406682,-0.001714,0.268031
212,7.066667,0.406679,-0.001826,0.268545
213,7.1,0.406665,-0.001719,0.26923
214,7.133333,0.406726,-0.001999,0.270151
215,7.166667,0.406727,-0.001895,0.270524
216,7.2,0.406748,-0.001966,0.270934
217,7.233333,0.406811,-0.001967,0.271494
218,7.266667,0.406856,-0.001943,0.271966
219,7.3,0.406907,-0.001924,0.272552
220,7.333333,0.406985,-0.001868,0.27333
221,7.366667,0.407075,-0.001843,0.274073
222,7.4,0.407121,-0.001851,0.274372
223,7.433333,0.407106,-0.001818,0.274242
224,7.466667,0.407108,-0.001804,0.274212
225,7.5,0.407119,-0.001824,0.274313
226,7.533333,0.407108,-0.001815,0.274289
227,7.566667,0.407107,-0.001806,0.274275
228,7.6,0.407115,-0.001816,0.274322
229,7.633333,0.407107,-0.001811,0.274318
230,7.666667,0.407107,-0.001807,0.274314
231,7.7,0.407107,-0.001808,0.274329
232,7.733333,0.407103,-0.001801,0.27435
233,7.766667,0.407108,-0.0018,0.274354
234,7.8,0.40711,-0.001799,0.274358
235,7.833333,0.407117,-0.001802,0.274381
236,7.866667,0.407114,-0.001803,0.274398
237,7.9,0.407107,-0.001793,0.274402
238,7.933333,0.407119,-0.001798,0.274414
239,7.966667,0.407109,-0.001793,0.274413
240,8,0.407115,-0.001791,0.274438
241,8.033333,0.407109,-0.001791,0.274443
242,8.066667,0.407118,-0.001788,0.274453
243,8.1,0.407115,-0.001787,0.274465
244,8.133333,0.40712,-0.00179,0.274482
245,8.166667,0.40712,-0.001787,0.27449
246,8.2,0.407118,-0.001785,0.274488
247,8.233333,0.407121,-0.001788,0.274503
248,8.266667,0.407125,-0.001785,0.274511
249,8.3,0.407124,-0.001785,0.274514
250,8.333333,0.407126,-0.001782,0.274519
251,8.366667,0.407142,-0.001771,0.274557
252,8.4,0.407217,-0.001755,0.274649
253,8.433333,0.407301,-0.001633,0.274783
254,8.466667,0.4074,-0.00157,0.274776
255,8.5,0.407563,-0.001326,0.274597
256,8.533333,0.407594,-0.001434,0.274629
257,8.566667,0.40765,-0.001468,0.274714
258,8.6,0.407773,-0.001276,0.274524
259,8.633333,0.407844,-0.001362,0.273784
260,8.666667,0.407897,-0.001289,0.271886
261,8.7,0.407627,-0.001453,0.269099
262,8.733333,0.40727,-0.001533,0.264943
263,8.766667,0.407187,-0.001617,0.262412
264,8.8,0.4073,-0.001347,0.261213
265,8.833333,0.407379,-0.001658,0.261652
266,8.866667,0.407438,-0.001711,0.262627
267,8.9,0.407478,-0.001747,0.263372
268,8.933333,0.407512,-0.001894,0.263856
269,8.966667,0.407555,-0.001805,0.264501
270,9,0.407602,-0.002132,0.265432
271,9.033333,0.407614,-0.002046,0.265632
272,9.066667,0.407691,-0.002093,0.265954
273,9.1,0.407653,-0.002105,0.266773
274,9.133333,0.407593,-0.002045,0.26741
275,9.166667,0.407566,-0.002067,0.26809
276,9.2,0.407497,-0.001985,0.268643
277,9.233333,0.407487,-0.001976,0.269153
278,9.266667,0.407487,-0.001922,0.269597
279,9.3,0.40749,-0.001901,0.269813
280,9.333333,0.407479,-0.001863,0.269817
281,9.366667,0.407484,-0.001879,0.269831
282,9.4,0.407483,-0.001853,0.269839
283,9.433333,0.407479,-0.001871,0.269857
284,9.466667,0.407478,-0.001851,0.269868
285,9.5,0.407475,-0.001859,0.269879
286,9.533333,0.407468,-0.001859,0.269887
287,9.566667,0.407474,-0.001853,0.2699
288,9.6,0.407463,-0.001859,0.269904
289,9.633333,0.407463,-0.001856,0.269911
290,9.666667,0.407466,-0.001862,0.269921
291,9.7,0.407461,-0.001852,0.269919
292,9.733333,0.407463,-0.001859,0.269929
293,9.766667,0.407458,-0.001839,0.269926
294,9.8,0.407464,-0.001847,0.269939
295,9.833333,0.407461,-0.001846,0.269938
296,9.866667,0.407462,-0.001849,0.269945
297,9.9,0.40746,-0.001851,0.269944
298,9.933333,0.407458,-0.001848,0.269947
299,9.966667,0.407459,-0.001844,0.269953
300,10,0.407462,-0.001847,0.269955
301,10.033333,0.40746,-0.001844,0.269956
302,10.066667,0.407457,-0.001841,0.269954
303,10.1,0.407458,-0.00184,0.269957
304,10.133333,0.407459,-0.001845,0.269957
305,10.166667,0.407458,-0.001844,0.269958
306,10.2,0.40746,-0.001842,0.269956
307,10.233333,0.407458,-0.00184,0.26996
308,10.266667,0.407455,-0.001837,0.269962
309,10.3,0.407441,-0.001823,0.269987
310,10.333333,0.407403,-0.001781,0.270054
311,10.366667,0.407332,-0.001658,0.270208
312,10.4,0.407184,-0.00157,0.270457
313,10.433333,0.406951,-0.001303,0.270822
314,10.466667,0.406839,-0.001284,0.271249
315,10.5,0.406614,-0.00117,0.27119
316,10.533333,0.406343,-0.001277,0.270588
317,10.566667,0.405972,-0.001244,0.269771
318,10.6,0.405294,-0.001231,0.268928
319,10.633333,0.404558,-0.001218,0.267524
320,10.666667,0.403696,-0.001249,0.26536
321,10.7,0.402849,-0.001372,0.262253
322,10.733333,0.401892,-0.001689,0.259092
323,10.766667,0.401608,-0.001245,0.257514
324,10.8,0.401245,-0.001311,0.257284
325,10.833333,0.401213,-0.001707,0.258434
326,10.866667,0.40129,-0.001575,0.259614
327,10.9,0.401268,-0.001807,0.260396
328,10.933333,0.401298,-0.001731,0.260988
329,10.966667,0.401305,-0.001847,0.261728
330,11,0.401369,-0.001919,0.262454
331,11.033333,0.40139,-0.001853,0.262768
332,11.066667,0.401423,-0.001937,0.263282
333,11.1,0.401499,-0.001985,0.263814
334,11.133333,0.401554,-0.001923,0.264246
335,11.166667,0.401603,-0.001905,0.264806
336,11.2,0.401722,-0.00185,0.265669
337,11.233333,0.401815,-0.001823,0.266319
338,11.266667,0.401844,-0.001837,0.266492
339,11.3,0.401831,-0.001785,0.266341
340,11.333333,0.401834,-0.001808,0.266383
341,11.366667,0.40184,-0.001783,0.26643
342,11.4,0.401838,-0.001802,0.266418
343,11.433333,0.401841,-0.001793,0.266424
344,11.466667,0.401838,-0.001791,0.266445
345,11.5,0.401839,-0.00179,0.266452
346,11.533333,0.401839,-0.001788,0.266464
347,11.566667,0.40184,-0.001785,0.26647
348,11.6,0.401845,-0.001796,0.266503
349,11.633333,0.401842,-0.001789,0.266518
350,11.666667,0.401844,-0.001786,0.266526
351,11.7,0.401841,-0.001786,0.266534
352,11.733333,0.401844,-0.001786,0.266554
353,11.766667,0.401846,-0.001788,0.266567
354,11.8,0.401846,-0.001781,0.266572
355,11.833333,0.401845,-0.001782,0.266589
356,11.866667,0.401848,-0.001781,0.266607
357,11.9,0.40185,-0.001781,0.266607
358,11.933333,0.401848,-0.00178,0.266611
359,11.966667,0.401848,-0.001777,0.266634
360,12,0.401852,-0.001775,0.266642
361,12.033333,0.401853,-0.001775,0.266648
362,12.066667,0.401856,-0.001777,0.266666
363,12.1,0.401857,-0.001776,0.266669
364,12.133333,0.401857,-0.001773,0.266669
365,12.166667,0.401856,-0.001773,0.266674
366,12.2,0.401864,-0.001773,0.266685
367,12.233333,0.401889,-0.001766,0.266745
368,12.266667,0.401972,-0.001706,0.26689
369,12.3,0.40208,-0.001582,0.266962
370,12.333333,0.402182,-0.001467,0.266819
371,12.366667,0.402299,-0.001247,0.266694
372,12.4,0.402339,-0.001479,0.266807
373,12.433333,0.402382,-0.001372,0.266751
374,12.466667,0.402507,-0.001292,0.266412
375,12.5,0.40261,-0.001288,0.265242
376,12.533333,0.40253,-0.001344,0.262942
377,12.566667,0.402127,-0.001547,0.259483
378,12.6,0.402009,-0.001642,0.255864
379,12.633333,0.401902,-0.001475,0.253788
380,12.666667,0.401958,-0.001376,0.253414
381,12.7,0.402105,-0.00178,0.254098
382,12.733333,0.40212,-0.001615,0.254759
383,12.766667,0.402175,-0.001793,0.255554
384,12.8,0.402245,-0.001776,0.256076
385,12.833333,0.40228,-0.001889,0.256815
386,12.866667,0.40233,-0.002126,0.257578
387,12.9,0.402386,-0.001988,0.257767
388,12.933333,0.402421,-0.002095,0.258247
389,12.966667,0.40236,-0.002109,0.258926
390,13,0.40236,-0.002113,0.259454
391,13.033333,0.402342,-0.002093,0.260083
392,13.066667,0.402299,-0.001985,0.260708
393,13.1,0.402304,-0.001963,0.261312
394,13.133333,0.402296,-0.001913,0.261795
395,13.166667,0.402308,-0.001897,0.262009
396,13.2,0.402308,-0.001867,0.261951
397,13.233333,0.402302,-0.001872,0.261969
398,13.266667,0.402296,-0.001858,0.261997
399,13.3,0.402295,-0.001865,0.261993
400,13.333333,0.402296,-0.001858,0.26201
401,13.366667,0.402293,-0.001854,0.262014
402,13.4,0.402291,-0.001853,0.262024
403,13.433333,0.402287,-0.001853,0.262032
404,13.466667,0.402288,-0.00185,0.262029
405,13.5,0.402286,-0.001848,0.262031
406,13.533333,0.402285,-0.001849,0.262045
407,13.566667,0.402282,-0.001845,0.262044
408,13.6,0.402282,-0.001846,0.262044
409,13.633333,0.402285,-0.001848,0.262046
410,13.666667,0.402284,-0.001848,0.26205
411,13.7,0.40228,-0.001846,0.262054
412,13.733333,0.402278,-0.00184,0.262051
413,13.766667,0.402281,-0.001846,0.262053
414,13.8,0.402281,-0.001847,0.262057
415,13.833333,0.402281,-0.001843,0.262058
416,13.866667,0.402279,-0.00184,0.262061
417,13.9,0.402278,-0.001837,0.262063
418,13.933333,0.40228,-0.001843,0.262063
419,13.966667,0.402278,-0.001842,0.262065
420,14,0.402278,-0.001838,0.262066
421,14.033333,0.402276,-0.001834,0.26207
422,14.066667,0.402278,-0.001841,0.262071
423,14.1,0.402279,-0.001838,0.262067
424,14.133333,0.402279,-0.00185,0.262084
425,14.166667,0.402258,-0.001819,0.262107
426,14.2,0.4022,-0.001756,0.26225
427,14.233333,0.402095,-0.001624,0.26239
428,14.266667,0.401939,-0.001487,0.262669
429,14.3,0.401789,-0.001262,0.263103
430,14.333333,0.401587,-0.001288,0.263478
431,14.366667,0.401412,-0.001264,0.263214
432,14.4,0.401134,-0.001295,0.26252
433,14.433333,0.400661,-0.001221,0.261856
434,14.466667,0.399918,-0.001271,0.261006
435,14.5,0.399144,-0.001176,0.259406
436,14.533333,0.39821,-0.001233,0.257045
437,14.566667,0.397262,-0.001457,0.253667
438,14.6,0.396308,-0.001681,0.250784
439,14.633333,0.395948,-0.001109,0.249216
440,14.666667,0.395808,-0.001362,0.249227
441,14.7,0.395733,-0.001674,0.250476
442,14.733333,0.39582,-0.001611,0.251603
443,14.766667,0.395818,-0.001861,0.2523
444,14.8,0.39582,-0.001659,0.252842
445,14.833333,0.395894,-0.001897,0.253769
446,14.866667,0.395941,-0.001894,0.254334
447,14.9,0.395968,-0.001887,0.254676
448,14.933333,0.396004,-0.00196,0.255209
449,14.966667,0.396046,-0.001937,0.255646
450,15,0.396097,-0.001926,0.256068
451,15.033333,0.3962,-0.001881,0.256686
452,15.066667,0.396323,-0.001852,0.257513
453,15.1,0.396417,-0.001849,0.258066
454,15.133333,0.396433,-0.001836,0.2581
455,15.166667,0.396412,-0.001795,0.257973
456,15.2,0.396432,-0.001825,0.258054
457,15.233333,0.396434,-0.00181,0.25808
458,15.266667,0.396426,-0.00181,0.25806
459,15.3,0.396429,-0.00181,0.258083
460,15.333333,0.396434,-0.001812,0.258091
461,15.366667,0.396433,-0.001808,0.258087
462,15.4,0.396432,-0.001812,0.258098
463,15.433333,0.396434,-0.001805,0.25812
464,15.466667,0.396434,-0.001812,0.258137
465,15.5,0.396433,-0.001803,0.258129
466,15.533333,0.396437,-0.001806,0.258136
467,15.566667,0.396436,-0.001804,0.258151
468,15.6,0.396433,-0.001803,0.258164
469,15.633333,0.396436,-0.001794,0.258158
470,15.666667,0.396437,-0.001803,0.258174
471,15.7,0.396437,-0.001797,0.25819
472,15.733333,0.39644,-0.001797,0.2582
473,15.766667,0.39644,-0.00179,0.258204
474,15.8,0.39644,-0.001792,0.258217
475,15.833333,0.396443,-0.001791,0.258226
476,15.866667,0.396446,-0.001787,0.258225
477,15.9,0.396445,-0.001788,0.258229
478,15.933333,0.396443,-0.00178,0.25824
479,15.966667,0.396449,-0.001783,0.258237
480,16,0.396449,-0.001786,0.258239
481,16.033333,0.396447,-0.001782,0.25824
482,16.066667,0.39646,-0.001775,0.258264
483,16.1,0.39649,-0.00175,0.258319
484,16.133333,0.39655,-0.001692,0.258389
485,16.166667,0.396658,-0.001594,0.258403
486,16.2,0.396787,-0.001472,0.258336
487,16.233333,0.396851,-0.001273,0.258298
488,16.266667,0.396924,-0.001489,0.258414
489,16.3,0.39694,-0.001354,0.258247
490,16.333333,0.397087,-0.001307,0.257701
491,16.366667,0.397183,-0.001345,0.256375
492,16.4,0.397031,-0.001435,0.25396
493,16.433333,0.396587,-0.001552,0.25045
494,16.466667,0.396495,-0.00158,0.247227
495,16.5,0.396407,-0.001482,0.245275
496,16.533333,0.396488,-0.001441,0.24515
497,16.566667,0.396606,-0.00172,0.245985
498,16.6,0.396636,-0.001584,0.246768
499,16.633333,0.396714,-0.00185,0.247356
500,16.666667,0.396731,-0.001782,0.247938
501,16.7,0.396825,-0.001949,0.24873
502,16.733333,0.396855,-0.002068,0.249289
503,16.766667,0.3969,-0.00201,0.249489
504,16.8,0.39691,-0.002144,0.250127
505,16.833333,0.396893,-0.002079,0.250512
506,16.866667,0.396902,-0.002099,0.251001
507,16.9,0.396861,-0.002069,0.251752
508,16.933333,0.396845,-0.001981,0.252474
509,16.966667,0.396869,-0.001964,0.25318
510,17,0.396879,-0.001881,0.253669
511,17.033333,0.396886,-0.001863,0.253771
512,17.066667,0.396886,-0.001831,0.253637
513,17.1,0.396885,-0.001851,0.253721
514,17.133333,0.396879,-0.001844,0.25374
515,17.166667,0.396877,-0.001827,0.253696
516,17.2,0.396876,-0.001837,0.253755
517,17.233333,0.396874,-0.001828,0.25373
518,17.266667,0.396874,-0.001833,0.253725
519,17.3,0.396872,-0.001825,0.253755
520,17.333333,0.396865,-0.001828,0.253746
521,17.366667,0.396864,-0.001816,0.253744
522,17.4,0.396866,-0.001827,0.253755
523,17.433333,0.396868,-0.001825,0.25375
524,17.466667,0.39686,-0.001819,0.253762
525,17.5,0.396862,-0.001819,0.253755
526,17.533333,0.39686,-0.001819,0.253758
527,17.566667,0.396863,-0.001817,0.253766
528,17.6,0.396861,-0.001819,0.25376
529,17.633333,0.396859,-0.001811,0.253762
530,17.666667,0.396858,-0.001812,0.253768
531,17.7,0.396857,-0.001812,0.253766
532,17.733333,0.39686,-0.001813,0.253769
533,17.766667,0.396859,-0.001814,0.253766
534,17.8,0.396855,-0.001809,0.253772
535,17.833333,0.396858,-0.001812,0.253777
536,17.866667,0.39686,-0.001811,0.253771
537,17.9,0.396856,-0.001809,0.25377
538,17.933333,0.396855,-0.001812,0.253777
539,17.966667,0.396856,-0.001811,0.253778
540,18,0.396846,-0.001802,0.253778
